Address,City,State,Represented,Status,Sale Price,Description,Image
2 Van Ripper,Orinda,CA,Listing Agent,Closed,"$2,735,000 ",Clark Thompson - Agt: 925-254-8585 - Spectacular Piedmont traditional style inside & outside seldom found in Orinda. Lovely oversized rooms + elegant allure in all rooms. Great for entertaining of formal rooms yet comfortable. Exceptional outside living on 1 acre of incredible landscaping appeal. A home not to be missed.,https://thumbs.trulia-cdn.com/pictures/thumbs_5/ps.86/6/8/6/8/picture-uh=79cca96b9bacf0e93736da9c87d03fa3-ps=6868f390e2ea69a96948a5e76622bb5.jpg
60 Muth,Orinda,CA,Listing Agent,Closed,"$1,010,000 ","Clark Thompson - Agt: 925-254-8585 - Convenience + Peaceful setting bring ideal value opportunity. Lovely home of 40 years shows love of ownership. Great floor plan for separation of space. Close-in yet quiet neighborhood. Great location on special lot with privacy, gardens, decks, & pool.",https://thumbs.trulia-cdn.com/pictures/thumbs_5/ps.86/9/d/5/c/picture-uh=8495d3f38c24a6efe44f343e661ebb54-ps=9d5cb827cc2de2261853341b544a41.jpg
30 Tiana Terrace,Lafayette,CA,Listing Agent,Closed,"$2,180,000 ",Clark Thompson - Agt: 925-254-8585 - Exciting super style living on dramatic over-sized parcel within Tiana enclave of custom homes. Great style +design integrity with high quality amenities inside/outside. Wonderful open spaces. Incredible views of Mt. Diablo. Total privacy. A gem!,https://thumbs.trulia-cdn.com/pictures/thumbs_5/ps.86/4/2/6/5/picture-uh=8f12579a79263b69c588b453f3cc6f-ps=426544d0eb2ff90f445d479b8ce555b.jpg
56 Davis Rd,Orinda,CA,Listing Agent,Closed,"$1,500,000 ","Clark Thompson - Agt: 925-254-8585 - Exceptional family living 1 level traditional. Super large spaces includes big modern kitchen adjoining family room. Ideal floor plan for comfort, ease of living access inside and outside. Charming decor, great style, neutral colors. OPN Sun 1-4pm.",https://thumbs.trulia-cdn.com/pictures/thumbs_5/ps.89/5/6/e/8/picture-uh=8d4884f431d89dc8e1b918ca1cd3a-ps=56e83fec997123a5f3482ad198131b71.jpg
23 Ivy Drive,Orinda,CA,Listing Agent,Closed,"$1,245,000 ",Clark Thompson - Agt: 925-254-8585 - Opportunity abounds in unique living of 2 units in one house (or combined for 1 large home). Beautifully updated home w/ new baths +kitchens and lovely quality features. Exceptional privacy on knoll above street. Quiet and peaceful setting. Open Sunday 2-4pm,https://thumbs.trulia-cdn.com/pictures/thumbs_5/ps.89/8/c/1/8/picture-uh=e61e6b74d6f46bd2643e597653dd4a2a-ps=8c1862d24b17791a56c1b9d805ce7c3.jpg
0 Springhill Rd,Lafayette,CA,Listing Agent,Closed,"$490,000 ",,
3369 Mildred Lane,Lafayette,CA,Listing Agent,Closed,"$990,000 ",Clark Thompson - Agt: 925-254-8585 - Family popular Lafayette Valley Estates one level easy living traditional with big family room off kitchen. All main rooms open to front or back grassy yards on exceptionally quiet street. A true gem in special neighborhood.,https://thumbs.trulia-cdn.com/pictures/thumbs_5/ps.92/4/e/3/0/picture-uh=d7c934879ecbbdf258bf02e1aae5be5-ps=4e3034cd338ea68a2389e48cbf297610.jpg
13 Bates Blvd,Orinda,CA,Listing Agent,Closed,"$1,260,000 ","Clark Thompson - Agt: 925-254-8585 - Peaceful ridge lot with yard, pool, patios & views. A great family home of large functional living spaces, huge family room & exceptional one level living. Ease of access outside & beautiful play areas, sunshine patios & gardens plus pool. Great close in location, walk to town. Open Sun 1-4pm.",https://thumbs.trulia-cdn.com/pictures/thumbs_4/ps.92/7/6/a/1/picture-uh=57f1afb5c9bf9d7c78cf5c1fef44f2e-ps=76a19302642cf88a6b9c5a993b683de.jpg
516 Miner Road,Orinda,CA,Listing Agent,Closed,"$1,675,000 ",Clark Thompson - Agt: 925-254-8585 - Lovely Miner Road neighborhood surrounded by estate properties on big parcels. Well maintained home on knoll up long curved road from street. Exceptional living spaces with formal LR + DR + Kitchen with adjoining family room open to patio/ pool. Big windows.,https://thumbs.trulia-cdn.com/pictures/thumbs_5/ps.92/9/e/b/c/picture-uh=706bf757caa4b411e7dfe4719d2896-ps=9ebc8039d8bc8cfd96297a4373949cca.jpg
144 Las Vegas Rd,Orinda,CA,Listing Agent,Closed,"$1,125,000 ",Clark Thompson - Agt: 925-254-8585 - Special one level living in popular Country Club area of fine homes. Charming appeal in/outside with numerous quality enhancements of new kitchen + baths. Super floor plan from courtyard entry to delightful back patio/ pool. Super lifestyle in this fun and attractive home. Open Sun (10/9) 2-4.,https://thumbs.trulia-cdn.com/pictures/thumbs_4/ps.92/4/9/9/9/picture-uh=73031488bd12582b7b0cccb1dc2aa38-ps=49995cddfa792718a8f352690fddf7a.jpg
91 Coral Drive,Orinda,CA,Listing Agent,Closed,"$1,176,000 ","Clark Thompson - Agt: 925-254-8585 - Ideal family location near 12 years of schools. Delightful home, remodeled kitchen & baths, on one level. Easy living floor plan with bedroom living, large living room & kitchen - dining/family room. All open to outside spaces. Front & back yards.",https://thumbs.trulia-cdn.com/pictures/thumbs_4/ps.94/3/0/e/9/picture-uh=7a97947c04c8bf0622e26cee66ec128-ps=30e911cd986ee85ef7b9fe102a2199a3.jpg
244 El Toyonal,Orinda,CA,Listing Agent,Closed,"$1,170,000 ","Clark Thompson - Agt: 925-254-8585 - Forever views across Orinda to Mt. Diablo. Truly delightful living spaces on 2 levels w/ modern remodeled kitchen, living room and dining room open to outside w/ extensive decking/ views. Lovely master suite. Bonus offices, excellent storage. Incredible setting.",https://thumbs.trulia-cdn.com/pictures/thumbs_5/ps.91/9/0/5/b/picture-uh=6c53f396ba9c86ea34e9169a6b2b1921-ps=905bfe5f99599ce81358ad2bce7953e4.jpg
3 Dollis Park Rd,Lafayette,CA,Listing Agent,Closed,"$1,445,000 ","ATTENTION - this is your opportunity to move into this sought after community! Top rated K-12 schools, commutable BART and HWY 24 location, expansive master bedroom retreat. 1 bed/1ba guest room on lower level. Views, privacy, low maintenance/great entertainment backyard oasis. This is YOUR chance!",
5 Oak Arbor,Orinda,CA,Listing Agent,Closed,"$2,573,630 ","~ RUE No. 5~This elegant European-style estate home is nested on an approx. acre among beautiful oaks and redwoods, located in the prestigious Orinda Country Club area. Built in 2000, this spacious, approx. 4,100-sq.ft. home features four bedrooms and three full and two half baths. Two of the bedrooms are en-suites, plus a den that could be a possible fifth bedroom. This home is intimate and private with beautiful custom finishes throughout. Some of the many features include distressed hickory floors, plaster walls, vaulted ceilings, gourmet kitchen, walk-in pantry, three fireplaces, wine cellar, custom chicken coop, lovely outdoor patios, and a three-car garage.",https://maps.googleapis.com/maps/api/streetview?client=gme-zillowinc3&size=640x480&sensor=false&location=37.898884%2C-122.19192&signature=MoVuLprfDbEGUCtDEVVv0uKu2xQ=
220 Camino Sobrante,Orinda,CA,Listing Agent,Closed,"$1,650,000 ","This Single-Family Home is located at 220 Camino Sobrante, Orinda, CA sold for $1,650,000 on Mar 23, 2017. 220 Camino Sobrante has 4 baths and approximately 2,886 square feet. The property was built in 1955. 220 Camino Sobrante is in the Charles Hill neighborhood in Orinda, CA and in ZIP Code 94563.",https://thumbs.trulia-cdn.com/pictures/thumbs_4/ps.99/b/6/e/2/picture-uh=39641d363da539f492cc77196b38a7ee-ps=b6e25f24e3d7a9f65f55f6515d57e733.jpg
37 Southwood,Orinda,CA,Listing Agent,Closed,"$1,565,000 ","Clark Thompson - Agt: 925-2548585 - Close to town yet perfectly quiet setting, exceptional tranquility. Charming home w/style & functionality. Super deluxe kitchen w/the very best of Chef's appliances including 6 burner Wolf range + adjoining family room. All spaces open to lush gardens,delightful courtyard & privacy. OPEN SUN 1-4.",https://thumbs.trulia-cdn.com/pictures/thumbs_4/ps.99/1/d/a/7/picture-uh=651f905057c26a4e10383056c164775-ps=1da7708dea49c7e39cc9f8d7719bad12.jpg
1168 Glen Rd,Lafayette,CA,Listing Agent,Closed,"$1,887,500 ","Clark Thompson - Agt: 925-2548585 - Exceptional family living in a well built, well maintained home. Enjoy one level living on a gorgeous flat piece of land. All rooms w/access outside on sunny site. Large rooms, vaulted wood ceilings. Fabulous inside/ outside. OPEN SUN 1-4pm.",https://thumbs.trulia-cdn.com/pictures/thumbs_5/ps.101/5/a/7/e/picture-uh=cc80f649abc98e18b983e57975a4cd-ps=5a7e60fe1ccac593c28ce8a97ee787.jpg
41 Longridge ,Orinda,CA,Listing Agent,Closed,"$1,232,000 ","Clark Thompson - Agt: 925-2548585 - Very special home of great style, design & flair. The wonderful floor plan provides incredible living spaces of light and bright rooms. Truly delightful features of quality & sophistication. Ideal setting close to town + spectacular views from patios and terraces off most rooms.",https://thumbs.trulia-cdn.com/pictures/thumbs_5/ps.101/a/4/f/c/picture-uh=7338d34ef42f8fe65b9201d865fdb16-ps=a4fc12c6829fd4f514ee99c4f4b4eb6.jpg
32 Coachwood,Orinda,CA,Listing Agent,Closed,"$1,661,500 ","Clark Thompson - Agt: 925-2548585 - Special setting, custom modern design with over-sized rooms + high ceilings. Ideal floor plan w/ family room off kitchen + bonus recreation room. Lovely setting up lane from street provides views +privacy. A well valued home in the DOWNS. OPN Sat & Sun 2-4pm.",https://thumbs.trulia-cdn.com/pictures/thumbs_4/ps.102/e/8/f/e/picture-uh=a4bfd0f176e0101c7dc32279a76c76cc-ps=e8fefbb48a434887f3f9f83dae6fd252.jpg
17 Tarry Lane,Orinda,CA,Listing Agent,Closed,"$2,225,000 ","Jenny L Wilhite - Agt: 925-2540505 - Incredible Sleepy Hollow traditional home on usable .62 acre w/grassy yard, patio & gated terraced pool. Exceptionally maintained & updated home with oversized living spaces open to outdoor living. Great for entertaining. Close to Sleepy Hollow Elementary. Open Sat/Sun 1-4.",https://thumbs.trulia-cdn.com/pictures/thumbs_5/ps.102/a/4/a/8/picture-uh=4cb589e3ed9399e964d5fc3131d95a3-ps=a4a843c66b944936f574493fa3cfc4.jpg
260 Camino Sobrante,Orinda,CA,Listing Agent,Closed,"$1,110,000 ","Clark Thompson - Agt: 925-2548585 - Great location at Lake Cascade near club house & tennis courts. Comfortable living floor plan on two levels. Vaulted ceilings, custom features, modern kitchen. Lower floor in-law with bath & own entrance. Walk to club/ town.",https://thumbs.trulia-cdn.com/pictures/thumbs_5/ps.101/c/7/a/f/picture-uh=7116288f756da08a7a40473eeb27d4a-ps=c7af821d42188ded52d1755193a12a.jpg
"260 Caldecott Ln, #302",Oakland 94618,CA,Listing Agent,Closed,"$625,000 ",The best floor plan that The Parkwoods has to offer. Vaulted ceilings and a fantastic loft!!!!,https://thumbs.trulia-cdn.com/pictures/thumbs_5/ps.55/f/3/a/e/picture-uh=801bc94524883cba914c2d3bbee85f75-ps=f3ae688e8add8ebfa63943cf29fb24a.jpg
11 Las Palomas,Orinda,CA,Listing Agent,Closed,"$1,365,000 ","Clark Thompson - Agt: 925-2548585 - Modern light filled home set on knoll providing exceptional privacy & tranquility. Delightful updated spaces with style +quality features. Each bedroom is en-suite. Bonus office/4th bdrm. Fab Kitchen w/Wolf range, SubZero and quality features. A special in/outdoor ambiance, valley views, level lawn. Great convenient neighborhood.",https://thumbs.trulia-cdn.com/pictures/thumbs_5/ps.103/c/5/6/6/picture-uh=a6254c599f48ee0fd2155d07f593230-ps=c566e79a328a7c95f84961a2d762276.jpg
45 Don Gabriel Way,Orinda,CA,Listing Agent,Closed,"$1,332,500 ","Clark Thompson - Agt: 925-2548585 - Great location living near Del Rey School. Fabulous one level easy living family home w/comfortable spaces throughout. Incredible grassy lawns, front & back. One of Orinda's finest neighborhoods near 12 years of top rated schools. Family living at its best.",https://thumbs.trulia-cdn.com/pictures/thumbs_5/ps.102/9/7/b/c/picture-uh=c4c6b2276087ab759ee177f116e8765-ps=97bcf9ea8a2771c83b6662b41c335e.jpg
6 Irvine Drive,Moraga,CA,Listing Agent,Closed,"$1,125,000 ","Clark Thompson - Agt: 925-2548585 - On quiet court with privacy + allure. Enjoy a one level living home updated & ready for occupancy. The alluring big rooms w/ vaulted ceilings + excellent light open to patio, gardens & yard. Truly an appealing ready to occupy home, well maintained with exceptional stylish decor.",https://thumbs.trulia-cdn.com/pictures/thumbs_5/ps.103/e/7/9/6/picture-uh=d978d99f91f9dfd4c7248b9f3938f44-ps=e7961cafe0d994b495aad359f3f42f83.jpg
1 Kittiwake,Orinda,CA,Listing Agent,Closed,"$1,360,000 ","Clark Thompson - Agt: 925-2548585 - Exceptional allure Mid-century home of great charm and appeal. Lovely features of quality redwood, floor to ceiling windows, vaulted beam ceilings, views and nature at your doorstep. Easy access from rooms to the superb tranquility outside. Truly gorgeous setting! Sit, relax on patio to see yourself, nothing quite like it! OPEN SUNDAY 1-4pm.",https://thumbs.trulia-cdn.com/pictures/thumbs_4/ps.103/2/0/1/2/picture-uh=a4010daffa508a3e80e6f26dbee497-ps=20125b6cc869615158f0b4c2101aac90.jpg
3484 Hamlin Rd,Lafayette,CA,Listing Agent,Closed,"$2,065,000 ","Clark Thompson - Agt: 925-2548585 - Exceptional neighborhood ideal for families. Near town & schools. Fabulous floor plan has huge great room, all open to level yard, courtyard, patio & pool. Lots of space inside & outside.",https://maps.googleapis.com/maps/api/streetview?client=gme-zillowinc3&size=640x480&sensor=false&location=37.88246%2C-122.11511&signature=-CcBe978LbCe5ghUxWMNBDuwECA=
5 La Noria,Orinda,CA,Listing Agent,Closed,"$1,677,500 ","Wonderful 3,309 sf mid century modern on .7 of an acre w/ 4 bedrooms & 3.5 baths in OCC. Floor to ceiling windows, hardwood flrs in liv & dining rms. Separate detached 200 sq.ft. office. Fabulous setting, level lawn, views of the golf course and hills. Shared B-Ball court. Incredible gardens.",https://thumbs.trulia-cdn.com/pictures/thumbs_4/ps.42/d/7/e/3/picture-uh=701565d6ff4b44217dc28515b301ba1-ps=d7e3a7aa42a4f9fdd851a4e5678a1dbc.jpg
29 Tappan Lane,Orinda,CA,Listing Agent,Closed,"$1,625,000 ","Clark Thompson - Agt: 925-2548585 - A rare find! Very special mid-century custom built 1 level home on gorgeous 1.89 acre estate knoll setting unmatched for allure/ appeal. Exceptional property with views across Sleepy Hollow. Incredible opportunity. Total privacy/tranquility.Beautiful long estate lane sets the tone of this lovely, loved property.",https://thumbs.trulia-cdn.com/pictures/thumbs_5/ps.104/5/7/2/a/picture-uh=38919e51fcdb3594e243c57dcf4217d-ps=572a3a92983692a91c3819b50dd3343.jpg
10 Las Palomas,Orinda,CA,Listing Agent,Closed,"$2,438,000 ","Huge Price Reduction!! Don't miss this great opportunity! Orinda Country Club retreat with ""Old World"" style & charm. Natural light & open floorplan. Private & tranquil yet close to BART & frwy. access. Separate guest quarters. High end finishes & amazing grounds: pool, spa, built-BBQ. Open Sun 2-4.",https://maps.googleapis.com/maps/api/streetview?client=gme-zillowinc3&size=640x480&sensor=false&location=37.899136%2C-122.177505&signature=zPkwrhHGTcECZ2W_gQO67EqC6hY=
8 Charles Hill Pl,Orinda,CA,Listing Agent,Closed,"$994,500 ","This Single-Family Home is located at 8 Charles Hill Pl, Orinda, CA sold for $955,500 on Jul 31, 2017. 8 Charles Hill Pl has 2 baths and approximately 2,137 square feet. The property was built in 1952. 8 Charles Hill Pl is in the Diablo View neighborhood in Orinda, CA and in ZIP Code 94563.",https://thumbs.trulia-cdn.com/pictures/thumbs_5/zillowstatic/ISi3qx7ppczbiv1000000000.jpg
411 Camino Sobrante,Orinda,CA,Listing Agent,Closed,"$1,650,000 ","Clark Thompson - Agt: 925-2548585 - One of Orinda's most charming and distinctive homes set on Premier parcel at El Sueno corner lot. Delightful character in every room of exceptional appeal. Easy access to fabulous patios & yards for entertaining, family fun. Truly rare find in very best of Country Club living.Call 925-258-0220.",https://thumbs.trulia-cdn.com/pictures/thumbs_5/ps.103/f/f/1/9/picture-uh=61f2c98586931e12d4331d6dbf07257-ps=ff19a68818e73e8558bf63ce5e8f5e.jpg
11 Orchard Road,Orinda,CA,Listing Agent,Closed,"$1,782,000 ","Remodeled and landscaped to capture the quintessential storybook charm from Orinda in the 1940's fused with today's amenities located on a gorgeous, private, serene lot on one of Orinda's favorite streets.",https://maps.googleapis.com/maps/api/streetview?client=gme-zillowinc3&size=640x480&sensor=false&location=37.871662%2C-122.175735&signature=01mLLvOqnDTpCc-aAnUIiR3Um6I=
86 Hillcrest Drive,Orinda,CA,Listing Agent,Closed,"$1,770,000 ","Clark Thompson - Agt: 925-2548585 - As good as it gets. Very special family home of incredible quality & numerous high craftsmanship amenities & features. Beautiful interior rooms of light & bright style & open floor plan suits comfortable lifestyle. Truly fabulous yards & exceptional play areas. A living arrangement perfect for guests, Nanny or large family. Downstairs has kitchenette, separate",https://thumbs.trulia-cdn.com/pictures/thumbs_5/ps.104/6/5/8/e/picture-uh=12a92ecbec46bbbb8e5e44dfd293ee-ps=658e528640207424ce4e0d7b47606b.jpg
176 Camino Don Miguel,Orinda,CA,Listing Agent,Closed,"$1,825,000 ","This Single-Family Home is located at 176 Camino Don Miguel, Orinda, CA sold for $1,825,000 on Aug 04, 2017. 176 Camino Don Miguel has 2 baths and approximately 3,003 square feet. The property was built in 1950. 176 Camino Don Miguel is in the Sandhill neighborhood in Orinda, CA and in ZIP Code 94563.",https://thumbs.trulia-cdn.com/pictures/thumbs_5/zillowstatic/ISmi8l7yf3rtg91000000000.jpg
1934 Joseph Drive,Moraga,CA,Listing Agent,Closed,"$1,685,000 ","Exquisite four bedroom home in exclusive and seldom available Sonsara development across from Moraga Country Club. Wonderful location near Moraga Center shopping, Miramonte HS and the shortest commute in Moraga to Orinda BART. Over 1/4 acre of manicured grounds including outdoor fireplace, outdoor BBQ and several fruit trees including persimmons and apples! Pretty views of the hills. Spacious master suite along with two family bedrooms that share a Jack and Jill bathroom and a fourth bedroom with bath. Two inside fireplaces--one in the formal living room and the other in the casual family room.",https://thumbs.trulia-cdn.com/pictures/thumbs_5/zillowstatic/IS2rpopri7r6bq1000000000.jpg
173  Glorietta Blvd,Orinda,CA,Listing Agent,Closed,"$1,125,000 ","This Lot/Land is located at 173 Glorietta Blvd, Orinda, CA sold for $1,125,000 on Aug 24, 2017. 173 Glorietta Blvd has approximately 1,296 square feet. 173 Glorietta Blvd is in the Glorietta neighborhood in Orinda, CA and in ZIP Code 94563.",https://thumbs.trulia-cdn.com/pictures/thumbs_5/zillowstatic/ISqlls10sbjh3l1000000000.jpg
14 Van Tassel,Orinda,CA,Listing Agent,Closed,"$1,450,000 ",Very well maintained/Level home with big space for family friendly living floor plan including large family room off modern kitchen. High ceilings and floor to ceiling windows bring the outside in with abundance of light. Gorgeous grounds with lovely landscaping.,https://thumbs.trulia-cdn.com/pictures/thumbs_5/zillowstatic/ISatg5p8kmj1fg1000000000.jpg
1 Hidden Lane,Orinda,CA,Listing Agent,Closed,"$1,435,000 ","Well maintained Sleepy Hollow home - custom built by original owner of quality craftsmanship. Lovely view setting corner of Tappan - Hidden Lane. Kitchen/ family room adjoin for access to decks & level play places. Traditional family friendly floor plan on one level. Vaulted ceilings, large windows and patio doors lead to private setting of spectacular sunset views. This home was custom built by original owners with great care of quality and integrity. Walk to Sleepy Hollow Elementary in a family friendly neighborhood.",https://thumbs.trulia-cdn.com/pictures/thumbs_5/zillowstatic/ISy7012hyo9ov80000000000.jpg
42 Irving Lane,Orinda,CA,Listing Agent,Closed,"$1,275,000 ",Delightful home of great appeal in each light-filled room. Charm abounds of original owners care & love of this special property inside & outside. Gorgeous gardens and grassy lawns make this super property perfect for families.,https://thumbs.trulia-cdn.com/pictures/thumbs_5/zillowstatic/ISmq26qc6lorp91000000000.jpg
26 Van Ripper,Orinda,CA,Listing Agent,Closed,"$1,500,000 ","Lovely appealing setting & exceptional living spaces combined to make this a wonderful family home. The over sized lot has level lawns, beautiful views and a sun-splashed pool quality maintained by owner w/classic traditional style. The exceptional positioning of the home on this site is beyond the norm with great sun all day and gorgeous views across the valley of Sleepy Hollow. Beautiful high end homes are a key factor in this very popular area.",https://thumbs.trulia-cdn.com/pictures/thumbs_5/zillowstatic/ISugw4g07m3lq81000000000.jpg
3 Duarte,Moraga,CA,Listing Agent,Closed,"$1,650,000 ","Very special cul-de-sac location convenient to schools + shopping. Truly delightful living spaces with high ceilings + new high-end kitchen+ master bath remodels (exceptional quality). Level yards front , back and patio with BBQ, kitchen area. A gorgeous home. OPEN SUNDAY 1-4pm 9/24.",https://thumbs.trulia-cdn.com/pictures/thumbs_5/zillowstatic/ISma6eihv3muy60000000000.jpg
151 Canon Drive,Orinda,CA,Listing Agent,Closed,"$1,805,000 ","A rare opportunity to own one of Orinda's premier classic homes. Incredible style + true Old World craftsmanship combine with elegant over-sized spaces, high ceilings, custom wood surfaces, Terrazzo floors, hardwoods, tiles + fixtures of an incredible by-gone era. A must see.",https://thumbs.trulia-cdn.com/pictures/thumbs_5/zillowstatic/ISugwglch8shgn0000000000.jpg
2345 Parish,Walnut Creek,CA,Listing Agent,Closed,"$978,000 ","Lovely, large family friendly home near elementary school and regional trail. Super floor plan with spacious rooms - all nicely updated and well-maintained. Super floor plan with easy flow to outside. Great grassy yards, privacy and tons of charm in ideal location near BART, John Muir, Heather Farms, swim clubs, shopping. OPeN SUN 1-4pm.",https://thumbs.trulia-cdn.com/pictures/thumbs_5/zillowstatic/ISq94jxo48jbep0000000000.jpg
44 Knickerbocker Ln,Orinda,CA,Listing Agent,Pending,"$1,450,000 ","Tons of space for ideal family living in this super floor plan home. Offering family room off modern kitchen + bonus lower floor recreational room. Exceptional layout for large family. In-law potential. Sunny, full exposure light in all rooms. Fantastic sports court and play areas for kids. End of cul-de-sac location, peaceful and quiet neighborhood. Truly a special property for active lifestyle near town and commute",https://thumbs.trulia-cdn.com/pictures/thumbs_5/zillowstatic/IS2jbkmcc3moko0000000000.jpg
328 Village View Ct,Orinda,CA,Listing Agent,Pending,"$1,700,000 ","This Townhouse is located at 328 Village View Ct, Orinda, CA. 328 Village View Ct is in the Orinda Country Club neighborhood in Orinda, CA and in ZIP Code 94563. 328 Village View Ct has 2 baths, approximately 2,080 square feet and was built in 1989.",https://maps.googleapis.com/maps/api/streetview?client=gme-zillowinc3&size=640x480&sensor=false&location=37.887226%2C-122.18451&signature=KP-aJXZJflMqI6ep897PlSeakTg=
